window_start,latency_avg_ms,throughput_msg_s
2025-08-10T16:53:37.519395,9.36,80.63
2025-08-10T16:53:47.524383,9.45,80.16
2025-08-10T16:53:57.533301,10.06,77.94
2025-08-10T16:54:07.836125,128.34,55.33
2025-08-10T16:54:18.046968,424.89,54.58
2025-08-10T16:54:28.072764,256.47,54.97
2025-08-10T16:54:38.076436,57.3,63.38
2025-08-10T16:54:48.085749,10.59,77.35
2025-08-10T16:54:58.091273,9.17,80.66
2025-08-10T16:55:08.095876,9.0,80.77
2025-08-10T16:55:18.103235,9.19,80.04
2025-08-10T16:55:28.111643,9.54,80.44
2025-08-10T16:55:38.113783,9.41,80.29
2025-08-10T16:55:48.119236,9.07,81.16
2025-08-10T16:55:58.128921,9.28,81.12
2025-08-10T16:56:08.136699,9.25,80.84
2025-08-10T16:56:18.138626,9.08,81.29
2025-08-10T16:56:28.147596,9.21,80.73
2025-08-10T16:56:38.154228,9.35,80.55
2025-08-10T16:56:48.166047,9.25,81.01
2025-08-10T16:56:58.173832,9.26,80.84
2025-08-10T16:57:08.182728,9.29,80.83
2025-08-10T16:57:18.184136,9.5,80.49
2025-08-10T16:57:28.190774,9.46,81.25
2025-08-10T16:57:38.192071,9.42,81.09
2025-08-10T16:57:48.194282,9.37,80.99
2025-08-10T16:57:58.205954,9.29,81.21
2025-08-10T16:58:08.211193,9.24,81.16
2025-08-10T16:58:18.214303,9.12,80.78
2025-08-10T16:58:28.227127,9.38,80.6
2025-08-10T16:58:38.234894,9.49,80.74
2025-08-10T16:58:48.252657,9.76,80.66
2025-08-10T16:58:58.263020,9.52,80.22
2025-08-10T16:59:08.263854,9.4,81.0
2025-08-10T16:59:18.273419,12.35,76.13
2025-08-10T16:59:28.284625,10.12,79.91
2025-08-10T16:59:38.297761,9.52,80.8
2025-08-10T16:59:48.303483,9.62,79.26
2025-08-10T16:59:58.316803,8.99,81.0
2025-08-10T17:00:08.317751,9.66,79.5
2025-08-10T17:00:18.329824,10.07,79.11
2025-08-10T17:00:28.332290,10.61,78.59
2025-08-10T17:00:38.343364,10.1,79.12
2025-08-10T17:00:48.345630,9.78,79.99
2025-08-10T17:00:58.352161,9.83,79.85
2025-08-10T17:01:08.356592,9.89,79.97
2025-08-10T17:01:18.360186,9.65,80.48
2025-08-10T17:01:28.369857,9.98,79.13
2025-08-10T17:01:38.379216,10.31,78.93
2025-08-10T17:01:48.381748,9.7,80.18
2025-08-10T17:01:58.388127,9.92,81.05
2025-08-10T17:02:08.393471,9.92,80.86
2025-08-10T17:02:18.396908,9.85,80.48
2025-08-10T17:02:28.408911,10.13,80.01
2025-08-10T17:02:38.419664,10.76,77.92
2025-08-10T17:02:48.426291,10.82,77.75
2025-08-10T17:02:58.432856,10.71,78.05
2025-08-10T17:03:08.440320,10.73,78.25
2025-08-10T17:03:18.450811,10.76,77.82
2025-08-10T17:03:28.451591,10.9,77.4
2025-08-10T17:03:38.459418,10.87,77.94
2025-08-10T17:03:48.460840,10.84,77.89
2025-08-10T17:03:58.473461,10.9,77.91
2025-08-10T17:04:08.483238,10.84,77.93
2025-08-10T17:04:18.487876,10.78,77.37
2025-08-10T17:04:28.498660,10.82,78.22
2025-08-10T17:04:38.509026,10.89,77.82
2025-08-10T17:04:48.519902,11.93,75.32
2025-08-10T17:04:58.530917,10.86,77.92
2025-08-10T17:05:08.532705,10.65,77.79
2025-08-10T17:05:18.542527,10.25,79.23
2025-08-10T17:05:28.553983,9.93,80.11
2025-08-10T17:05:38.558796,10.83,77.17
2025-08-10T17:05:48.569561,10.47,78.82
2025-08-10T17:05:58.577456,10.76,78.14
2025-08-10T17:06:08.586610,10.68,78.43
2025-08-10T17:06:18.594309,9.51,80.94
2025-08-10T17:06:28.604373,10.05,79.92
2025-08-10T17:06:38.614972,9.83,80.12
2025-08-10T17:06:48.621721,9.64,80.55
2025-08-10T17:06:58.630716,9.46,80.73
2025-08-10T17:07:08.636291,9.46,81.36
2025-08-10T17:07:18.647779,9.36,81.41
2025-08-10T17:07:28.653859,9.54,81.45
2025-08-10T17:25:27.224032,16.03,0.58
2025-08-10T17:25:37.232878,13.37,74.04
2025-08-10T17:25:47.245969,10.52,74.51
2025-08-10T17:25:57.257372,10.73,74.02
2025-08-10T17:26:07.266538,10.14,75.03
2025-08-10T17:26:17.268275,10.2,75.59
2025-08-10T17:26:27.270769,10.13,75.58
2025-08-10T17:26:37.282790,10.25,74.51
2025-08-10T17:26:47.283590,10.21,76.2
2025-08-10T17:26:57.286416,10.18,75.68
2025-08-10T17:27:07.292818,10.07,75.66
2025-08-10T17:27:17.296133,10.14,75.68
2025-08-10T17:27:27.305653,10.16,76.13
2025-08-10T17:27:37.313444,10.18,75.54
2025-08-10T17:27:47.329360,10.14,76.28
2025-08-10T17:27:57.335165,10.17,75.46
2025-08-10T17:28:07.335847,10.08,75.3
2025-08-10T17:28:17.346593,10.2,75.82
